TIME_STAMPING,PACKET_COUNT,GNSS_SPEED,GNSS_LATITUDE,GNSS_LONGITUDE,GNSS_ALTITUDE,GNSS_SATS,VOLTAGE,VIBRATION,EULERX,EULERY,EULERZ ,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,BNO_TEMPERATURE,MAGNETOMETER_X,MAGNETOMETER_Y,MAGNETOMETER_Z,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GRAVITY_X,GRAVITY_Y,GRAVITY_Z,ALTITUDE,TEMPERATURE,PRESSURE,CM_ECHO,Unnamed: 32
1702453034.2631931,1348,0.0,0.0,0.0,0.0,0,16.39,0,357.38,-1.56,0.38,357.38,-1.56,0.38,0.12,-0.06,-0.06,26.0,-23.38,-24.25,-30.69,-0.26,-0.01,9.44,357.38,-1.56,0.38,243.87,27.17,984.3,time,
1702453037.2672875,1,0.0,0.0,0.0,0.0,0,16.39,0,1.69,1.31,21.81,1.69,1.31,21.81,10.19,3.25,-3.75,24.0,-48.88,-27.0,-36.06,0.28,-3.53,9.13,1.69,1.31,21.81,222.88,26.47,986.76,time,
1702453039.7197623,0,0.0,0.0,0.0,0.0,0,16.39,0,359.81,0.0,-0.19,359.81,0.0,-0.19,1.81,-0.38,0.38,24.0,-74.38,-51.75,-63.88,-0.01,-3.1,9.11,359.81,0.0,-0.19,222.71,26.47,986.78,time,
1702453042.169145,1,0.0,0.0,0.0,0.0,0,16.39,0,359.38,1.75,17.31,359.38,1.75,17.31,2.44,0.44,1.56,24.0,-46.0,-31.38,-36.75,0.35,-2.8,9.21,359.38,1.75,17.31,222.68,26.52,986.79,time,
1702453044.3499165,1,0.0,0.0,0.0,0.0,0,16.39,0,359.31,2.75,15.69,359.31,2.75,15.69,1.25,-2.31,0.69,24.0,-49.06,-30.38,-36.88,0.45,-2.42,9.18,359.31,2.75,15.69,222.66,26.54,986.79,time,
1702453046.5236218,0,0.0,0.0,0.0,0.0,0,16.39,0,359.94,3.25,14.75,359.94,3.25,14.75,-0.56,1.62,-1.56,25.0,-81.38,-49.88,-60.75,0.6,-2.37,9.22,359.94,3.25,14.75,222.45,26.52,986.81,time,
1702453048.7292,0,0.0,0.0,0.0,0.0,0,16.39,0,8.19,0.06,1.06,8.19,0.06,1.06,-6.75,8.19,-48.31,25.0,-67.5,-68.25,-57.56,0.8,-1.07,9.69,8.19,0.06,1.06,223.01,26.53,986.75,time,
1702453082.1546524,0,0.0,0.0,0.0,0.0,0,16.39,0,357.38,-0.38,-3.38,357.38,-0.38,-3.38,34.75,5.75,20.75,25.0,-68.88,-68.56,-55.25,2.03,-3.22,8.69,357.38,-0.38,-3.38,222.53,26.55,986.81,time,
1702453082.4252665,21,0.0,0.0,0.0,0.0,0,16.39,0,9.94,-16.38,13.75,9.94,-16.38,13.75,-1.62,4.0,-2.0,25.0,17.25,-39.19,-35.69,-2.89,-2.21,9.3,9.94,-16.38,13.75,222.37,26.67,986.83,time,
1702453082.693301,22,0.0,0.0,0.0,0.0,0,16.39,0,10.19,-17.19,14.0,10.19,-17.19,14.0,1.62,2.62,0.31,25.0,18.5,-38.5,-36.38,-2.79,-2.34,9.31,10.19,-17.19,14.0,222.29,26.67,986.83,time,
1702453082.9619102,23,0.0,0.0,0.0,0.0,0,16.39,0,9.94,-17.81,13.06,9.94,-17.81,13.06,6.06,0.25,-0.38,25.0,18.38,-38.5,-35.0,-3.1,-2.23,9.32,9.94,-17.81,13.06,222.31,26.68,986.83,time,
1702453083.2333698,24,0.0,0.0,0.0,0.0,0,16.39,0,9.94,-18.31,12.44,9.94,-18.31,12.44,-0.25,1.75,-1.94,25.0,18.06,-40.25,-34.38,-3.04,-1.96,9.22,9.94,-18.31,12.44,222.47,26.68,986.81,time,
1702453083.49993,25,0.0,0.0,0.0,0.0,0,16.39,0,9.5,-18.56,12.19,9.5,-18.56,12.19,-1.31,1.5,2.25,25.0,18.5,-38.75,-34.25,-3.28,-1.91,9.35,9.5,-18.56,12.19,222.48,26.68,986.81,time,
1702453083.7709086,26,0.0,0.0,0.0,0.0,0,16.39,0,9.5,-18.75,12.38,9.5,-18.75,12.38,0.06,1.06,0.31,25.0,18.38,-39.5,-33.69,-3.27,-2.01,9.29,9.5,-18.75,12.38,222.45,26.69,986.81,time,
1702453084.0519326,27,0.0,0.0,0.0,0.0,0,16.39,0,9.5,-18.88,12.44,9.5,-18.88,12.44,-3.38,0.88,0.69,25.0,18.75,-39.88,-34.19,-3.46,-1.96,9.24,9.5,-18.88,12.44,222.48,26.69,986.81,time,
1702453084.3279328,28,0.0,0.0,0.0,0.0,0,16.39,0,11.0,-18.38,13.12,11.0,-18.38,13.12,0.88,-0.5,-9.25,25.0,19.25,-38.75,-33.06,-3.31,-1.99,9.25,11.0,-18.38,13.12,222.41,26.69,986.82,time,
1702453084.597626,29,0.0,0.0,0.0,0.0,0,16.39,0,12.12,-18.0,13.5,12.12,-18.0,13.5,-0.81,-0.06,1.88,25.0,19.5,-37.75,-33.75,-3.46,-2.39,9.37,12.12,-18.0,13.5,222.33,26.69,986.83,time,
1702453084.8780582,30,0.0,0.0,0.0,0.0,0,16.39,0,11.38,-17.94,13.19,11.38,-17.94,13.19,1.81,-4.12,11.44,25.0,20.69,-38.75,-33.75,-3.59,-1.97,9.4,11.38,-17.94,13.19,222.39,26.7,986.82,time,
1702453085.149671,31,0.0,0.0,0.0,0.0,0,16.39,0,11.69,-17.44,13.88,11.69,-17.44,13.88,0.31,2.31,-16.56,25.0,18.88,-38.88,-34.69,-2.72,-2.18,9.21,11.69,-17.44,13.88,222.4,26.7,986.82,time,
1702453085.430277,32,0.0,0.0,0.0,0.0,0,16.39,0,11.44,-17.12,13.56,11.44,-17.12,13.56,3.0,-2.12,5.0,25.0,20.0,-38.19,-34.25,-3.34,-2.15,9.6,11.44,-17.12,13.56,222.42,26.7,986.82,time,
1702453085.7033527,33,0.0,0.0,0.0,0.0,0,16.39,0,12.06,-16.44,14.12,12.06,-16.44,14.12,-1.62,1.75,-2.94,25.0,18.5,-38.19,-34.38,-2.29,-2.19,9.26,12.06,-16.44,14.12,222.24,26.7,986.84,time,
1702453085.9846911,34,0.0,0.0,0.0,0.0,0,16.39,0,10.5,-16.56,15.19,10.5,-16.56,15.19,-12.44,-4.0,9.75,25.0,18.5,-37.06,-36.75,-2.19,-2.31,9.56,10.5,-16.56,15.19,222.36,26.71,986.83,time,
1702453086.2472942,35,0.0,0.0,0.0,0.0,0,16.39,0,13.44,-15.75,18.75,13.44,-15.75,18.75,-8.31,-6.25,-25.44,25.0,20.25,-34.56,-37.56,-3.08,-3.44,9.3,13.44,-15.75,18.75,222.42,26.71,986.82,time,
1702453086.525294,36,0.0,0.0,0.0,0.0,0,16.39,1,31.69,-9.44,24.62,31.69,-9.44,24.62,-6.69,3.25,-88.62,25.0,26.56,-26.0,-38.56,-2.04,-4.26,8.83,31.69,-9.44,24.62,222.43,26.71,986.82,time,
1702453086.79329,37,0.0,0.0,0.0,0.0,0,16.39,0,48.44,-3.19,26.25,48.44,-3.19,26.25,7.69,-5.31,-37.81,25.0,39.06,-10.69,-36.19,-1.23,-3.78,8.76,48.44,-3.19,26.25,222.43,26.71,986.82,time,
